TIMESTAMP,Sand_SM_10,Sand_SM_30,Sand_SM_50,Sand_SM_70,Sand_SM_90,Sand_SM_110,Sand_SM_130,Sand_SM_150,Sand_SM_170,Sand_SM_190,Sand_SM_210,Sand_SM_230,Slate_SM_10,Slate_SM_30,Slate_SM_50,Slate_SM_70,Slate_SM_90,Slate_SM_110,Slate_SM_130,Slate_SM_150,Slate_SM_170
2017-04-07T06:30:00,12.33,9.155,16.585,20.700000000000006,23.25,27.87,25.195,27.695,14.21,14.76,13.35,16.12,17.985,16.785,26.05,30.33,19.895,14.89,22.745,19.32,17.365000000000002
2017-04-07T07:00:00,12.33,9.15,16.6,20.705,23.255000000000006,27.875,25.225,27.715,14.21,14.755,13.34,16.12,17.96,16.795,26.045,30.32,19.9,14.895,22.75,19.315,17.475
2017-04-07T07:30:00,12.325,9.15,16.6,20.715,23.26,27.87,25.24,27.71,14.215,14.755,13.34,16.095,17.99,16.799999999999994,26.045,30.305,19.9,14.92,22.74,19.31,17.35
2017-04-07T08:00:00,12.315,9.155,16.6,20.715,23.26,27.875,25.23,27.725,14.22,14.77,13.345,16.11,17.975,16.805,26.05,30.35,19.9,14.905,22.755000000000006,19.31,17.380000000000006
2017-04-07T08:30:00,12.31,9.155,16.605,20.725,23.245,27.87,25.23,27.72,14.21,14.765,13.335,16.11,17.97,16.825,26.045,30.39,19.9,14.91,22.75,19.315,17.315
2017-04-07T09:00:00,12.305,9.155,16.61,20.71,23.255000000000006,27.885,25.245,27.71,14.215,14.775,13.335,16.125,17.97,16.84,26.055,30.38,19.895,14.91,22.75,19.31,17.39
2017-04-07T09:30:00,12.31,9.15,16.6,20.715,23.25,27.87,25.23,27.71,14.21,14.755,13.34,16.1,17.955,16.835,26.05,30.38,19.89,14.9,22.75,19.305,17.375
2017-04-07T10:00:00,12.3,9.155,16.61,20.71,23.25,27.87,25.24,27.705,14.21,14.755,13.335,16.105,17.96,16.825,26.06,30.38,19.895,14.905,22.755000000000006,19.32,17.365000000000002
2017-04-07T10:30:00,12.29,9.155,16.6,20.725,23.26,27.87,25.23,27.715,14.22,14.76,13.335,16.11,17.945,16.83,26.07,30.395,19.9,14.895,22.75,19.305,17.384999999999998
2017-04-07T11:00:00,12.285,9.16,16.61,20.72,23.25,27.875,25.235,27.72,14.205,14.755,13.34,16.105,17.955,16.825,26.055,30.36,19.89,14.91,22.74,19.315,17.36
2017-04-07T11:30:00,12.275,9.155,16.615000000000002,20.705,23.25,27.87,25.205,27.700000000000006,14.205,14.76,13.33,16.08,17.950000000000006,16.825,26.055,30.39,19.895,14.915,22.745,19.31,17.375
2017-04-07T12:00:00,12.27,9.155,16.615000000000002,20.715,23.245,27.875,25.22,27.715,14.21,14.755,13.32,16.060000000000002,17.925,16.82,26.04,30.36,19.895,14.905,22.75,19.305,17.36
2017-04-07T12:30:00,12.275,9.16,16.615000000000002,20.71,23.25,27.87,25.23,27.71,14.205,14.75,13.335,16.085,17.915,16.82,26.055,30.380000000000006,19.89,14.91,22.74,19.3,17.35
2017-04-07T13:00:00,12.265,9.155,16.62,20.705,23.245,27.875,25.21,27.71,14.205,14.745,13.34,16.1,17.895,16.82,26.05,30.4,19.885,14.9,22.74,19.295,17.369999999999994
2017-04-07T13:30:00,12.255,9.16,16.615000000000002,20.71,23.245,27.875,25.2,27.69,14.205,14.75,13.345,16.085,17.880000000000006,16.814999999999998,26.045,30.375,19.89,14.895,22.74,19.305,17.310000000000002
2017-04-07T14:00:00,12.25,9.15,16.625,20.71,23.245,27.88,25.19,27.69,14.21,14.745,13.335,16.075000000000006,17.875,16.84,26.055,30.355,19.89,14.895,22.745,19.295,17.29
2017-04-07T14:30:00,12.24,9.15,16.619999999999994,20.705,23.23,27.865,25.21,27.695,14.195,14.74,13.33,16.095,17.84,16.805,26.05,30.36,19.885,14.885000000000002,22.73,19.29,17.395
2017-04-07T15:00:00,12.235,9.155,16.62,20.72,23.25,27.875,25.195,27.685,14.195,14.74,13.33,16.1,17.685000000000006,16.83,26.06,30.375,19.885,14.89,22.74,19.295,17.314999999999998
2017-04-07T15:30:00,12.235,9.155,16.615000000000002,20.71,23.235,27.865,25.21,27.675,14.2,14.74,13.325,16.105,17.695,16.84,26.055,30.42,19.895,14.895,22.745,19.285,17.335
2017-04-07T16:00:00,12.225,9.14,16.605,20.705,23.255000000000006,27.875,25.185,27.675,14.195,14.745,13.33,16.1,17.64,16.78,26.065,30.34,19.88,14.895,22.75,19.3,17.285
2017-04-07T16:30:00,12.225,9.145,16.6,20.705,23.24,27.87,25.17,27.66,14.19,14.73,13.335,16.095,17.685000000000006,16.825,26.05,30.365,19.88,14.9,22.73,19.29,17.285
2017-04-07T17:00:00,12.215,9.15,16.585,20.695,23.245,27.87,25.17,27.67,14.185,14.73,13.325,16.095,17.68,16.785,26.035,30.345,19.88,14.89,22.735,19.295,17.275
2017-04-07T17:30:00,12.215,9.14,16.585,20.7,23.24,27.87,25.17,27.655,14.18,14.73,13.33,16.064999999999998,17.545,16.82,26.045,30.33,19.88,14.89,22.74,19.29,17.36
2017-04-07T18:00:00,12.21,9.15,16.585,20.695,23.235,27.865,25.155,27.66,14.17,14.72,13.32,16.105,17.72,16.79,26.055,30.365,19.88,14.89,22.73,19.29,17.31
2017-04-07T18:30:00,12.21,9.14,16.585,20.695,23.235,27.87,25.155,27.66,14.175,14.73,13.33,16.09,17.775,16.81,26.055,30.385,19.87,14.89,22.755000000000006,19.29,17.395000000000003
2017-04-07T19:00:00,12.2,9.14,16.575,20.695,23.25,27.88,25.16,27.65,14.175,14.725,13.325,16.095,17.725,16.805,26.05,30.36,19.89,14.89,22.74,19.275,17.34
2017-04-07T19:30:00,12.21,9.14,16.575,20.695,23.235,27.86,25.165,27.64,14.18,14.725,13.32,16.09,17.59,16.825,26.04,30.355,19.87,14.89,22.74,19.285,17.32
2017-04-07T20:00:00,12.21,9.145,16.57,20.695,23.24,27.865,25.165,27.65,14.185,14.73,13.3,16.05,17.69,16.79,26.04,30.37,19.88,14.885000000000002,22.74,19.29,17.24
2017-04-07T20:30:00,12.195,9.14,16.564999999999998,20.67,23.235,27.86,25.155,27.655,14.175,14.72,13.32,16.1,17.695,16.795,26.045,30.38,19.87,14.89,22.735,19.28,17.27
2017-04-07T21:00:00,12.195,9.14,16.564999999999998,20.695,23.23,27.865,25.16,27.65,14.17,14.72,13.325,16.09,17.68,16.795,26.035,30.405,19.87,14.885000000000002,22.73,19.28,17.285
2017-04-07T21:30:00,12.19,9.13,16.56,20.68,23.235,27.86,25.15,27.645,14.175,14.725,13.325,16.095,17.75,16.805,26.04,30.395,19.875,14.88,22.735,19.28,17.33
2017-04-07T22:00:00,12.185,9.145,16.57,20.68,23.235,27.865,25.135,27.64,14.17,14.73,13.325,16.025,17.755000000000006,16.82,26.045,30.4,19.875,14.885000000000002,22.75,19.28,17.299999999999994
2017-04-07T22:30:00,12.185,9.145,16.564999999999998,20.68,23.245,27.875,25.14,27.65,14.165,14.715,13.315,16.055,17.765,16.86,26.04,30.415,19.875,14.9,22.75,19.265,17.46
2017-04-07T23:00:00,12.195,9.14,16.575,20.685,23.23,27.87,25.145,27.635,14.165,14.715,13.315,16.07,17.759999999999994,16.814999999999998,26.045,30.395,19.865,14.89,22.75,19.28,17.439999999999998
2017-04-07T23:30:00,12.19,9.14,16.57,20.685,23.23,27.86,25.14,27.645,14.165,14.715,13.325,16.095,17.755000000000006,16.825,26.055,30.405,19.865,14.885000000000002,22.75,19.27,17.465
2017-04-08T00:00:00,12.19,9.14,16.564999999999998,20.67,23.24,27.86,25.14,27.645,14.165,14.72,13.315,16.09,17.765,16.825,26.05,30.42,19.88,14.885000000000002,22.755000000000006,19.28,17.439999999999998
2017-04-08T00:30:00,12.18,9.135000000000002,16.564999999999998,20.68,23.235,27.86,25.145,27.64,14.17,14.715,13.31,16.060000000000002,17.755000000000006,16.825,26.045,30.415,19.875,14.89,22.745,19.27,17.4
2017-04-08T01:00:00,12.185,9.13,16.55,20.68,23.225,27.86,25.14,27.635,14.17,14.71,13.32,16.085,17.77,16.85,26.04,30.4,19.865,14.885000000000002,22.745,19.28,17.41
2017-04-08T01:30:00,12.17,9.135000000000002,16.564999999999998,20.68,23.235,27.865,25.13,27.645,14.165,14.72,13.32,16.064999999999998,17.765,16.825,26.045,30.415,19.87,14.895,22.74,19.27,17.380000000000006
2017-04-08T02:00:00,12.185,9.14,16.56,20.68,23.23,27.865,25.135,27.645,14.16,14.705,13.305,16.08,17.775,16.825,26.045,30.405,19.87,14.885000000000002,22.75,19.265,17.354999999999997
2017-04-08T02:30:00,12.18,9.135000000000002,16.55,20.68,23.23,27.86,25.130000000000006,27.645,14.16,14.7,13.31,16.1,17.775,16.855,26.035,30.42,19.87,14.89,22.76,19.270000000000003,17.345
2017-04-08T03:00:00,12.18,9.13,16.560000000000002,20.68,23.225,27.855,25.14,27.64,14.16,14.715,13.31,16.07,16.96,16.810000000000002,26.04,30.385,19.865,14.88,22.735,19.28,17.27
2017-04-08T03:30:00,12.18,9.135000000000002,16.56,20.66,23.235,27.86,25.13,27.62,14.16,14.715,13.3,16.085,17.705,16.775,26.015,30.345,19.855,14.895,22.72,19.26,17.310000000000002
2017-04-08T04:00:00,12.18,9.13,16.56,20.675,23.215,27.86,25.135,27.630000000000006,14.165,14.71,13.305,16.02,17.665,16.799999999999994,26.025,30.405,19.865,14.875,22.73,19.265,17.235
2017-04-08T04:30:00,12.185,9.135000000000002,16.555,20.675,23.23,27.85,25.14,27.64,14.16,14.71,13.315,16.045,17.675,16.78,26.04,30.36,19.87,14.885000000000002,22.73,19.265,17.3
2017-04-08T05:00:00,12.18,9.125,16.564999999999998,20.66,23.23,27.85,25.125,27.635,14.15,14.705,13.32,16.075,17.75,16.785,26.04,30.37,19.865,14.88,22.74,19.26,17.255
